순번,분류,레스토랑 이름,영업시간,연락처,구글맵 링크,간단한 소개,대표 메뉴 (3가지)
1,관광객이라면 가성비와 갬성을 한번에!,짜까탕롱 (Chả Cá Thăng Long),오전 10:30~오후 9:00,,https://maps.app.goo.gl/HwShqpYcAyTzC9WE7,"하노이의 명물 요리인 가물치 구이 '짜까(Chả Cá)' 전문점입니다. 테이블 위에서 딜, 파와 함께 노릇하게 볶은 생선 살을 땅콩, 쌀국수 면, 특제 소스와 곁들여 먹는 독특한 경험을 할 수 있습니다. (처음 가는 사람은 찾기 어려우니 사진을 꼭 확인하세요! 6B P. Đường Thành, Cửa Đông, Hoàn Kiếm, Hà Nội 000084)","1. 짜까 (Chả Cá - 가물치 구이)
2. 생선 위장 볶음 (Lòng Cá)
3. 해산물 스프링 롤"
2,관광객이라면 가성비와 갬성을 한번에!,꽌안응온 (Quán Ăn Ngon),오전 6:30~오후 10:00,+84 903 246 963,https://maps.google.com/?cid=5162517836559873849,베트남 전역의 다양한 길거리 음식과 전통 요리를 한곳에서 맛볼 수 있는 곳입니다. 넓은 야외 정원과 전통 가옥 스타일의 인테리어가 어우러져 활기차면서도 이국적인 분위기를 느낄 수 있어 관광객들에게 인기가 많습니다.,"1. 반세오 (Bánh Xèo)
2. 분짜 (Bún Chả)
3. 넴 란 (Nem Rán)"
3,관광객이라면 가성비와 갬성을 한번에!,잠바 가든 (Zamba Garden),오전 11:00~오전 12:00,+84 901 676 969,https://maps.app.goo.gl/sPsQkNUVHfsKr17J9,도심 속에서 활기찬 야외 정원 분위기를 즐길 수 있는 바베큐 전문점입니다. 시그니처 메뉴인 큼직한 폭립을 비롯한 다양한 구이 요리에 시원한 맥주를 곁들이기 제격입니다.,"1. 자이언트 바베큐 폭립
2. 소고기 스테이크
3. 그릴드 소시지 플래터"
4,관광객이라면 가성비와 갬성을 한번에!,"멧 (MẸT, Vietnamese restaurant & Vegetarian Food 5)",오전 10:00~오후 10:30,+84 985 627 976,https://maps.app.goo.gl/LwvdvYbzpWr6BdCZ8,"하노이 올드쿼터에 위치한 베트남 전통 및 채식 요리 전문점입니다. 대나무 바구니에 정갈하게 담겨 나오는 '멧(Mẹt)' 세트가 시그니처이며, 다양한 베트남 음식을 합리적인 가격에 즐길 수 있어 여행객들에게 인기가 높습니다.","1. 멧 스페셜 세트
2. 반세오 (Bánh Xèo)
3. 스프링롤 세트"
5,베트남만의 고급 로컬 다이닝,짜오반 (Chào Bạn),오전 11:30~오후 10:30,+84 24 3552 8028,https://maps.app.goo.gl/tq53AdfPzZCYW8bB8,서호(Tây Hồ) 지역의 조용하고 운치 있는 빌라에 자리 잡은 베트남 전통 요리 전문점입니다. 미쉐린 가이드 빕 구르망에 선정될 만큼 훌륭한 맛과 우아한 분위기를 자랑합니다.,"1. 코코넛 해산물 커리
2. 베트남식 소고기 스튜 (Bò Sốt Vang)
3. 레몬그라스 돼지고기 구이"
6,베트남만의 고급 로컬 다이닝,떰비 (Tầm Vị),오전 11:00\~오후 2:30<br>오후 5:00\~9:30,+84 966 323 131,https://maps.google.com/?cid=4305134930746919990,오래된 베트남 목조 주택의 고풍스러운 인테리어가 돋보이는 미쉐린 1스타 레스토랑입니다. 북부 지방 특유의 섬세한 전통 가정식을 매우 정성스럽고 고급스럽게 차려냅니다.,"1. 까코또 (민물고기 뚝배기 조림)
2. 팃루옥 (돼지고기 수육과 특제 소스)
3. 제철 채소 마늘 볶음"
7,베트남만의 고급 로컬 다이닝,룩락 베트남 레스토랑 (Luk Lak),오전 7:30~오후 10:00,+84 943 143 686,https://maps.google.com/?cid=4474371496991400046,5성급 호텔 총주방장 출신의 셰프가 운영하는 세련된 로컬 다이닝입니다. 베트남 각 지역의 시그니처 요리와 소스들을 현대적인 레시피로 재해석하여 제공합니다.,"1. 사파(Sapa)식 흑돼지 구이
2. 시그니처 허브 소스 닭고기 구이
3. 모던 스타일 짜까(가물치 구이)"
8,베트남만의 고급 로컬 다이닝,챕터 다이닝 (Chapter Dining),오후 6:00~11:00,+84 333 201 221,https://maps.google.com/?cid=9465291556293376904,"장작불과 숯을 주방의 핵심 테마로 삼아, 베트남 각지의 식재료를 창의적인 파인다이닝 코스로 풀어내는 레스토랑입니다. 미쉐린 가이드에도 선정되었으며 훌륭한 미식 경험을 제공합니다.","1. 시즈널 테이스팅 코스
2. 장작구이 오리 가슴살
3. 숯불 해산물 스페셜"
9,한국인이 사랑하는 핫플레이스,오바마 분짜 흐엉리엔 (Bún Chả Hương Liên),오전 8:00~오후 8:00,+84 24 3943 4106,https://maps.google.com/?cid=9108413969528951015,"오바마 전 미국 대통령이 방문하여 이른바 '오바마 분짜'로 세계적인 유명세를 탄 식당입니다. 숯불향이 가득 배어 있는 고기와 새콤달콤한 국물, 신선한 허브의 조화가 훌륭합니다.","1. 오바마 콤보 (분짜+씨푸드 롤+하노이 맥주)
2. 해산물 롤 (Nem Hải Sản)
3. 게살 롤 (Nem Cua Bể)"
10,한국인이 사랑하는 핫플레이스,분짜닥킴 (Bún Chả Đắc Kim),오전 9:00~오후 9:00,+84 24 3828 7060,https://maps.app.goo.gl/WGQmbVAegp1XSGXs8,"1966년에 설립된 하노이 올드쿼터의 유서 깊은 분짜 전문점입니다. 진한 숯불 향의 돼지고기와 바삭한 대형 넴(Nem)이 특징이며, 현지인과 관광객 모두에게 꾸준히 사랑받는 곳입니다.","1. 분짜 (Bún Chả)
2. 넴 란 (Nem Rán - 게살 튀김 만두)"
11,한국인이 사랑하는 핫플레이스,퍼텐리궉수 (Pho 10 Ly Quoc Su),오전 6:00~오후 10:00,+84 24 3825 7338,https://maps.app.goo.gl/7ht6qtwrAn8ojmH59,"하노이에서 가장 유명한 소고기 쌀국수 맛집 중 하나로, 미쉐린 빕 구르망에 선정되었습니다. 맑으면서도 깊은 감칠맛을 내는 육수가 일품이며, 기호에 따라 튀김 빵인 '꿔이'를 국물에 적셔 먹는 것이 별미입니다.","1. 퍼 찐 (Phở Chín - 완숙 소고기 쌀국수)
2. 퍼 따이 (Phở Tái - 레어 소고기 쌀국수)
3. 퍼 따이 란 (볶은 소고기 쌀국수)"
12,한국인이 사랑하는 핫플레이스,분보남보백프응 (Bún Bò Nam Bộ Bách Phương),오전 7:30~오후 10:30,+84 911 529 166,https://maps.app.goo.gl/XyT37pJiM3b7T6yD9,"하노이 스타일의 비빔 쌀국수인 '분보남보'를 전문으로 하는 곳입니다. 볶은 소고기, 숙주, 땅콩, 튀긴 양파 등이 소스와 어우러져 고소하고 새콤달콤한 맛을 선사하며, 가벼우면서도 든든한 한 끼 식사로 제격입니다.","1. 분보남보 (Bún Bò Nam Bộ)
2. 넴 쭈아 잔 (Nem Chua Rán - 튀긴 돼지고기)
3. 바잉 바오 (Bánh Bao)"